source_file,month,status,sheet_found,raw_data_rows,records_generated,empty_oil_name_count,used_cn_as_oil_name_count,empty_refinery_count,invalid_number_count,source_total_10kt,detail_total_10kt,total_diff_10kt,total_diff_pct,messages
OILCHEM中国独立炼厂数据监测报告202206-定制版.xlsx,2022-06,ok,True,59,94,0,0,2,0,1274.6,1274.6,0.0,0.0,AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202207.xlsx,2022-07,ok,True,59,97,0,0,2,0,1235.5,1235.5,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202208.xlsx,2022-08,ok,True,59,96,0,0,2,0,1238.56,1238.56,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202209.xlsx,2022-09,ok,True,59,86,0,0,2,0,1209.58,1209.58,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202210.xlsx,2022-10,ok,True,59,85,0,0,2,0,1399.3,1399.3,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202211.xlsx,2022-11,ok,True,59,74,0,0,2,0,1390.3,1390.3,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202212.xlsx,2022-12,ok,True,59,82,0,0,2,0,1542.1,1542.1,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202301.xlsx,2023-01,ok,True,59,84,0,0,2,0,1504.15,1504.15,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202302.xlsx,2023-02,ok,True,59,99,0,0,954,0,1389.2,1389.2,0.0,0.0,BL列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；AY列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202303.xlsx,2023-03,ok,True,59,116,0,0,954,0,1566.95,1566.95,0.0,0.0,BO列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；BB列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202304.xlsx,2023-04,ok,True,59,106,0,0,954,0,1540.24,1540.24,0.0,0.0,BO列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；BB列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202305.xlsx,2023-05,ok,True,59,110,0,0,954,0,1554.69,1554.69,0.0,0.0,BO列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；BB列中英文油种名反置，已修正为 ARABIAN / 沙特原油
OILCHEM中国独立炼厂数据监测报告202306.xlsx,2023-06,ok,True,59,106,0,0,954,0,1501.72,1501.72,-0.0,-0.0,BO列英文油种名含中文字符，已清洗为: Indonesia Blend/Singma/Leng blend；BB列中英文油种名反置，已修正为 ARABIAN / 沙特原油
